l  tau  s   h   p   n   pp  lm  lv  la  lj  ls         Hs1         body
2   0   0   2   0  -1   0   0   0   0   0  -1  +1.314303552226e-08  SU
2   0   0   2   0   0   0   0   0   0  -1   0  +4.819610446072e-07  SU
2   0   0   2   0   0   0   0   0   0  -1   0  +4.475808013080e-09  JU
2   0   0   2   0   0   0   0   0   0   0  -2  +1.209506803044e-07  SU
2   0   0   3   0   0   0   0   0  -2   0   0  +2.871733613230e-07  SU
2   0   0   3   0   0   0   0   0  -2   0   0  +3.899603653237e-09  MA
3   0   0   2  -1   1   0   0   0   0   0   0  -5.608988325855e-06  MO
2   0   0   2   0  -1  -2   0   0   0   0   0  -5.302010766305e-07  MO
4   0   0   2   0  -1   0   0   0   0   0   0  -1.201137887692e-08  MO
2   0   0   2   0  -1   0   0   0   0   0   0  -6.070087795091e-07  SU
2   0   0   2   0   0   0   0   0   0   0  -1  +6.408966972834e-08  SU
2   0   0   2   1  -1   0   0   0   0  -1   0  +3.039473620093e-08  SU
2   0   0 -16   1   0   0   0  11   0   0   0  +1.193710244318e-08  SU
3   0   0   2  -1   2   0   0   0   0   0   0  +3.375848683752e-07  MO
2   0   0   3   1  -1   0   0   0  -2   0   0  +3.095659282966e-07  SU
2   0   0   2   0   0  -2   0   0   0   0   0  +1.563215838898e-06  MO
2   0   0   2   0   0  -2   0   0   0   0   0  -1.201577098956e-04  SU
3   0   0   2   0   0  -1   0   0   0   0   0  -2.256836790188e-07  SU
2   0   0   2   0   0   0   0   0   0   0   0  -5.250734479310e-05  MO
4   0   0   2   0   0   0   0   0   0   0   0  +2.630202543230e-07  MO
2   0   0   2   0   0   0   0   0   0   0   0  -3.093591153353e-02  SA
2   0   0   2   0   0   0   0   0   0   0   0  +4.019924706772e-09  ME
2   0   0   2   0   0   0   0   0   0   0   0  +2.120072579963e-07  VE
2   0   0   2   0   0   0   0   0   0   0   0  +4.093169857963e-09  MA
2   0   0   2   0   0   0   0   0   0   0   0  +3.421723834601e-09  JU
3   0   0   2   0   0   1   0   0   0   0   0  +6.150404846617e-09  SU
2   0   0 -11   0   0   0   0   8   0   0   0  +3.320392864248e-08  VE
2   0   0   1  -1   1   0   0   0   2   0   0  +3.245173291094e-07  SU
